PLZ;Stadt;Lat;Lon;LatMax;LatMin;LonMax;LonMin;Filename
01067;Dresden, Germany;51.0575496;13.7170648;51.075963;51.0434349;13.7473899;13.690393;01067.json
01069;Dresden, Germany;51.0391349;13.7376748;51.056633;51.0196478;13.758394;13.7113219;01069.json
01097;Dresden, Germany;51.0659081;13.7361525;51.085425;51.053568;13.7552361;13.7244381;01097.json
01099;Neustadt, Dresden, Germany;51.0746657;13.7741132;51.096542;51.0545379;13.7976491;13.719187;01099.json
01108;Dresden, Germany;51.1443239;13.7997057;51.17815;51.1285391;13.8371901;13.742293;01108.json
01109;Klotzsche,  Dresden, Germany;51.1204084;13.7503984;51.1219864;51.1185248;13.7528538;13.7482693;01109.json
01127;Dresden, Germany;51.0779366;13.7224379;51.093411;51.068225;13.749088;13.7138561;01127.json
01129;Dresden, Germany;51.0943744;13.7205411;51.111412;51.0815209;13.7665001;13.6889841;01129.json
01139;Dresden, Germany;51.0747119;13.6846314;51.096168;51.063196;13.7175141;13.6580361;01139.json
01156;Dresden, Germany;51.085544;13.6276849;51.102745;51.03038;13.662932;13.579469;01156.json
01157;Dresden, Germany;51.0634134;13.6678312;51.088973;51.0474;13.6999699;13.6423051;01157.json
01159;Löbtau, Dresden, Germany;51.0422862;13.7001358;51.049151;51.030015;13.7112518;13.6887939;01159.json
01169;Dresden, Germany;51.0440539;13.6665997;51.053953;51.027455;13.6808201;13.64707;01169.json
01187;Plauen, Dresden, Germany;51.0266014;13.7090684;51.038366;51.021106;13.722643;13.700282;01187.json
01189;Dresden, Germany;51.0144934;13.6972162;51.0223851;51.0023889;13.7295919;13.6761399;01189.json
01217;Dresden, Germany;51.0144606;13.7439601;51.033354;50.9997361;13.762488;13.7130489;01217.json
01219;Dresden, Germany;51.024895;13.7678094;51.045888;50.9996611;13.788156;13.746687;01219.json
01237;Dresden, Germany;51.0134206;13.7913392;51.030437;51.005764;13.8181469;13.777941;01237.json
01239;Dresden, Germany;50.9957514;13.7886884;51.012839;50.987968;13.8111321;13.7645041;01239.json
01257;Dresden, Germany;50.9980905;13.813979;51.020925;50.9759309;13.8447809;13.7875611;01257.json
01259;Dresden, Germany;51.0009506;13.8564276;51.017603;50.97813;13.8836001;13.809892;01259.json
01277;Dresden, Germany;51.0374106;13.7964562;51.0529321;51.0228331;13.8180979;13.7695569;01277.json
01279;Dresden, Germany;51.0229541;13.8339001;51.0429861;51.0117211;13.847358;13.8041891;01279.json
01307;Dresden, Germany;51.0566797;13.7688263;51.063362;51.041415;13.788688;13.7542391;01307.json
01309;Dresden, Germany;51.0491316;13.7874211;51.0626701;51.034707;13.8092759;13.766575;01309.json
01324;Buehlau, Dresden, Germany;51.0618896;13.854905;51.066524;51.047807;13.8708608;13.8339361;01324.json
01326;Loschwitz, Dresden, Germany;51.0542554;13.8145314;51.069445;51.0384029;13.8364389;13.780373;01326.json
01328;Weißig, Dresden, Germany;51.0611037;13.8868079;51.0721029;51.048285;13.928917;13.8655598;01328.json
01445;Radebeul, Germany;51.1115439;13.6433181;51.1414279;51.0884349;13.701015;13.58228;01445.json
01454;Wachau, Germany;51.1372153;13.9178698;51.203085;51.0611019;13.9892191;13.850548;01454.json
01458;Ottendorf-Okrilla, Germany;51.1751105;13.8246035;51.202334;51.145868;13.8728231;13.7638761;01458.json
01465;Dresden, Germany;51.1260965;13.8417809;51.158283;51.094576;13.890291;13.8166481;01465.json
01468;Moritzburg, Germany;51.167684;13.6637681;51.2099819;51.1077681;13.762558;13.594075;01468.json
01471;Radeburg, Germany;51.2011969;13.7403313;51.2365951;51.137683;13.7955249;13.6589811;01471.json
01477;Arnsdorf, Germany;51.0946097;13.9891512;51.126581;51.061905;14.0482141;13.924048;01477.json
01558;Grossenhain, Germany;51.2884296;13.5441928;51.319078;51.257191;13.6157139;13.452902;01558.json
01561;Grossenhain, Germany;51.2912275;13.531304;51.3856795;51.2610154;13.6286292;13.416364;01561.json
01587;Riesa, Germany;51.3000708;13.2678421;51.3013165803;51.2986186197;13.2692849803;13.2665870197;01587.json
01589;Poppitz,  Riesa, Germany;51.2907506;13.3241013;51.2935681;51.2869302;13.3313656;13.3182019;01589.json
01591;Merzdorfer Str.,  Riesa, Germany;51.3171207;13.2603193;51.3196424;51.31565;13.2697211;13.2501242;01591.json
01594;Stauchitz, Germany;51.2606788;13.2323241;51.2965609;51.202304;13.405242;13.1922821;01594.json
01609;Gröditz, Germany;51.4110818;13.4471558;51.4309962;51.3958854;13.4755888;13.4167378;01609.json
01612;Glaubitz, Germany;51.2991786;13.3900947;51.3459999;51.226629;13.4578251;13.3453459;01612.json
01616;Strehla, Germany;51.3639725;13.2150623;51.41122;51.325473;13.2929089;13.18185;01616.json
01619;Zeithain, Germany;51.356403;13.3251086;51.437438;51.293345;13.3883161;13.2291729;01619.json
01623;Lommatzsch, Germany;51.2021198;13.2783877;51.2486191;51.093072;13.3836179;13.2084498;01623.json
01640;Coswig, Germany;51.131589;13.5638128;51.161428;51.104779;13.643035;13.502274;01640.json
01662;Meissen, Germany;51.1632952;13.475152;51.192291;51.125396;13.5391399;13.4245549;01662.json
01665;Heinrich-Zille-Straße 15, 01445 Radebeul, Germany;51.1087126;13.6486099;51.1100615803;51.1073636197;13.6499588803;13.6472609197;01665.json
01683;Nossen, Germany;51.0799296;13.3231137;51.1292158;51.008162;13.428392;13.2309719;01683.json
01689;Weinböhla, Germany;51.1810234;13.5509434;51.2249321;51.143894;13.6313969;13.47807;01689.json
01705;Freital, Germany;51.0002571;13.6401737;51.0360569;50.9532;13.6975561;13.5796989;01705.json
01723;Wilsdruff, Germany;51.0502972;13.5362057;51.066566;50.9807509;13.6088961;13.420632;01723.json
01728;Bannewitz, Germany;50.9902277;13.7244064;51.009959;50.9512019;13.7906409;13.673645;01728.json
01731;Kreischa, Germany;50.9442869;13.7586934;50.988527;50.914896;13.807426;13.6993779;01731.json
01734;Rabenau, Germany;50.9492918;13.6668556;50.985483;50.9125405;13.720491;13.5920999;01734.json
01737;Tharandt, Germany;50.9700656;13.5362012;51.026917;50.922168;13.610645;13.428285;01737.json
01738;Dorfhain, Germany;50.9308286;13.5539209;50.9486699;50.920886;13.5837789;13.523792;01738.json
01744;Dippoldiswalde, Germany;50.8733147;13.6365623;50.9502821;50.7706796;13.730009;13.580542;01744.json
01762;Hartmannsdorf-Reichenau, Germany;50.8107286;13.5834367;50.847855;50.772106;13.6338428;13.5203991;01762.json
01768;Glashütte, Germany;50.8507042;13.7757788;50.932847;50.805771;13.8289865;13.6669409;01768.json
01773;Altenberg, Germany;50.7639531;13.7578889;50.8336312;50.7167049;13.8166083;13.6517905;01773.json
01774;Höckendorf,  Klingenberg, Germany;50.9321898;13.5860092;50.9392215;50.9251571;13.6020166;13.5700018;01774.json
01776;Hermsdorf, Germany;50.7646292;13.6261429;50.7846204;50.7303156;13.6904591;13.598659;01776.json
01778;Geising, Germany;50.7569262;13.7923125;50.813997;50.7239289;13.9031329;13.7737541;01778.json
01796;Dohma, Germany;50.9211285;13.9294286;50.9348392;50.8763838;13.9927491;13.9075376;01796.json
